"LOC","File"
"392","tajo-client/src/main/java/org/apache/tajo/client/CatalogAdminClientImpl.java"
"163","tajo-client/src/main/java/org/apache/tajo/client/ClientParameterHelper.java"
"33","tajo-client/src/main/java/org/apache/tajo/client/ClientParameters.java"
"102","tajo-client/src/main/java/org/apache/tajo/client/DummyServiceTracker.java"
"28","tajo-client/src/main/java/org/apache/tajo/client/InvalidClientSessionException.java"
"127","tajo-client/src/main/java/org/apache/tajo/client/QueryClient.java"
"591","tajo-client/src/main/java/org/apache/tajo/client/QueryClientImpl.java"
"97","tajo-client/src/main/java/org/apache/tajo/client/QueryStatus.java"
"245","tajo-client/src/main/java/org/apache/tajo/client/ResultSetUtil.java"
"448","tajo-client/src/main/java/org/apache/tajo/client/SessionConnection.java"
"30","tajo-client/src/main/java/org/apache/tajo/client/TajoClient.java"
"284","tajo-client/src/main/java/org/apache/tajo/client/TajoClientImpl.java"
"115","tajo-client/src/main/java/org/apache/tajo/client/TajoClientUtil.java"
"42","tajo-client/src/main/java/org/apache/tajo/client/v2/ClientDelegate.java"
"42","tajo-client/src/main/java/org/apache/tajo/client/v2/ClientDelegateFactory.java"
"30","tajo-client/src/main/java/org/apache/tajo/client/v2/ClientUtil.java"
"25","tajo-client/src/main/java/org/apache/tajo/client/v2/FutureListener.java"
"527","tajo-client/src/main/java/org/apache/tajo/client/v2/LegacyClientDelegate.java"
"133","tajo-client/src/main/java/org/apache/tajo/client/v2/QueryFuture.java"
"36","tajo-client/src/main/java/org/apache/tajo/client/v2/QueryState.java"
"28","tajo-client/src/main/java/org/apache/tajo/client/v2/ServiceDiscovery.java"
"163","tajo-client/src/main/java/org/apache/tajo/client/v2/TajoClient.java"
"28","tajo-client/src/main/java/org/apache/tajo/client/v2/exception/ClientConnectionException.java"
"28","tajo-client/src/main/java/org/apache/tajo/client/v2/exception/ClientUnableToConnectException.java"
"124","tajo-client/src/main/java/org/apache/tajo/jdbc/FetchResultSet.java"
"200","tajo-client/src/main/java/org/apache/tajo/jdbc/MetaDataTuple.java"
"119","tajo-client/src/main/java/org/apache/tajo/jdbc/TajoMemoryResultSet.java"
